restaurant_id,external_merchant_id,komsco_name,komsco_address,komsco_lat,komsco_lon,gold_kakao_rank,gold_naver_rank,gold_final_decision,gold_reject_reason,reviewer_comment,reviewer_detail,gold_note
9859,3eb9e37bfeca2f6f24d0e42b803eec64,탕탕미엔,"서울특별시 강남구 강남대로122길 16, 1층 1호 (논현동) 탕탕미엔",37.5080184,127.0244054,,,REJECT,NOT_EXIST,komsco 정보 자체를 사용하지 않는걸로 결정,가게 없음,Reviewer: 가게 없음; do not use KOMSCO record.
9871,c483220b6c5ae036f49df8caefbd1390,나주곰탕,"서울특별시 강남구 학동로 221 (논현동, 지상1층) 나주곰탕",37.5150652,127.0333556,1,,ACCEPT,,같은 매장이라고 봐도 무방,나주곰탕' 이라는 매장임. 직접 방문함,Reviewer confirmed same store and personally visited.
9882,2f05f1516bbc8848871e5971806a33e5,학동부대,서울특별시 강남구 학동로 224(논현동) B 101호 B 102호,37.514462,127.0335294,1,1,ACCEPT,,,,Reviewed draft accepted.
9894,e31758f89046a5a74f396c47dd870449,반포식스 논현점,서울특별시 강남구 강남대로118길 51 (논현동) 2층 반포식스,37.5074895,127.0272657,1,1,ACCEPT,,,,Reviewed draft accepted.
9906,35a963ca448e97773c3dc97915dab301,케이디,"서울특별시 강남구 학동로43길 38 (논현동, 논현웰스톤) 지하1층 B141호",37.5184409,127.0380207,,,REJECT,NON_FOOD,komsco 정보 자체를 사용하지 않는걸로 결정,사진 스튜디오임,Reviewer: 사진 스튜디오임.
9918,95b8bb04d23df7348f2020b18f18cf81,하남돼지집 학동역점,서울특별시 강남구 언주로133길 18(논현동) 1층,37.5163705,127.033723,1,1,ACCEPT,,,,Reviewed draft accepted.
9930,57c7678df9e733852ed9f0fd4edff173,텐트리키친,서울특별시 강남구 학동로4길 35(논현동) 지하1층,37.5091939,127.0239878,1,1,ACCEPT,,,,Reviewed draft accepted.
9941,37f084cf60b613f6bfad18dab89d5f04,본죽본죽&비빔밥 강남구청역점,서울특별시 강남구 선릉로131길 24 (논현동) 1층,37.5174254,127.0390046,1,1,ACCEPT,,,,Reviewed draft accepted.
9953,03c0ac11e11ec4172d42f322a0a5d03b,빨간떡볶이,서울특별시 강남구 강남대로118길 62 (논현동) 지하1층 103호,37.507149,127.0278709,1,,ACCEPT,,,,Reviewed draft accepted.
9965,4241c8c0d183b51f738d8e20dc147165,마구로다찌,서울시 강남구 언주로150길 48 1층 102호 마구로다찌(논현동),37.5218961,127.0380663,,,REJECT,NOT_EXIST,komsco 정보 자체를 사용하지 않는걸로 결정,가게 없음,Reviewer: 가게 없음; do not use KOMSCO record.
9977,99dee38f9313ece20ec94d22c7d11cce,돌곰네,"서울특별시 강남구 언주로146길 18 (논현동, 동현아파트) 동현상가 지하",37.5193597,127.0367435,1,1,ACCEPT,,,,Reviewed draft accepted.
9988,1b25639897fb2f6938d8587b56bdd576,태권브이,서울특별시 강남구 강남대로124길 3-6 3층 태권브이,37.509078,127.0230903,1,1,ACCEPT,,,,Reviewed draft accepted.
10000,a376a29efebdd2c89c0b73647f912776,(주)청담고수 논현점,서울특별시 강남구 논현로149길 12(논현동) 1층 (논현동),37.518579,127.0273334,,,REJECT,MOVED_OR_STALE,komsco 정보 자체를 사용하지 않는걸로 결정,이사한걸로 추정,Reviewer: 이사한 것으로 추정; do not use KOMSCO record.
10012,b5c1e569543540d4dc5dab000213a4a6,나향반점,서울특별시 강남구 선릉로111길 43 (논현동) 나향반점,37.5098934,127.0401045,1,1,ACCEPT,,,,Reviewed draft accepted.
10024,ccd42c9b15adaad1e6d13e9e2663a268,논현감자탕,"서울특별시 강남구 학동로 235, 2층 (논현동) 논현감자탕",37.515605,127.0350255,1,,ACCEPT,,,,Reviewed draft accepted.
10036,acff3701907479ce6e610837028f900f,금홍 짬뽕,"서울시 강남구 논현로149길 35 금홍짬뽕(논현동, 동보빌딩)",37.5176284,127.0257547,1,1,ACCEPT,,,,Reviewed draft accepted.
10047,2d950d8406732e5f143e87957ae8f93c,리미지,서울특별시 강남구 언주로147길 18 지1층 리미지,37.5198188,127.0327776,1,,ACCEPT,,,,Reviewed draft accepted.
10059,25a13f8b185c64b92f035f1493c22d70,메이크 어 딜리버리,"서울특별시 강남구 학동로34길 24, 지상1층 (논현동) 메이크 어 딜리버리",37.5129878,127.033737,1,2,ACCEPT,,,,Reviewed draft accepted.
10064,dd8884ae20f6a6d97b282ea7a0dc481b,천안상회,서울시 강남구 강남대로122길 천안상회,,,,1,REJECT,NON_FOOD,,,"Reviewed draft: same/related entity may exist, but not a restaurant."
10072,984b12c68cbd387f1758d4520c6e7a5d,찌개마을 시골촌,서울특별시 강남구 학동로34길 17 (논현동) 지상1층,37.5134478,127.033753,1,1,ACCEPT,,,,Reviewed draft accepted.
